price,const,avg_rating,cnt_reviews,pages_cnt,tirage,publisher_АСТ,publisher_Азбука,publisher_Иностранка,publisher_Эксмо,cover_type_Твёрдый_переплёт,weight/page_cnt,2024_or_2025,6-,16+
312,1.0,4.1,925,512,30000,1.0,0.0,0.0,0.0,0.0,0.48828125,1.0,0.0,1.0
312,1.0,4.1,1341,320,30000,1.0,0.0,0.0,0.0,0.0,0.625,1.0,0.0,1.0
284,1.0,4.5,363,192,25000,1.0,0.0,0.0,0.0,0.0,0.6875,1.0,0.0,1.0
339,1.0,4.3,872,288,12000,1.0,0.0,0.0,0.0,0.0,0.7256944444444444,1.0,0.0,1.0
284,1.0,4.2,3004,320,30000,1.0,0.0,0.0,0.0,0.0,0.625,1.0,0.0,1.0
289,1.0,4.3,673,224,20000,1.0,0.0,0.0,0.0,0.0,0.7098214285714286,1.0,0.0,0.0
441,1.0,4.2,1207,640,30000,1.0,0.0,0.0,0.0,0.0,0.578125,1.0,0.0,1.0
293,1.0,4.1,428,640,15000,1.0,0.0,0.0,0.0,0.0,0.484375,1.0,0.0,0.0
671,1.0,4.5,139,512,20000,0.0,0.0,0.0,1.0,0.0,0.80078125,1.0,0.0,1.0
299,1.0,4.1,1414,416,25000,1.0,0.0,0.0,0.0,0.0,0.6009615384615384,1.0,0.0,0.0
293,1.0,4.2,1429,448,25000,1.0,0.0,0.0,0.0,0.0,0.5133928571428571,1.0,0.0,1.0
349,1.0,4.2,899,320,25000,1.0,0.0,0.0,0.0,0.0,0.625,1.0,0.0,1.0
299,1.0,4.0,645,352,15000,1.0,0.0,0.0,0.0,0.0,0.7102272727272727,1.0,0.0,0.0
284,1.0,4.7,63,448,25000,1.0,0.0,0.0,0.0,0.0,0.6026785714285714,1.0,0.0,1.0
299,1.0,4.0,955,224,20000,1.0,0.0,0.0,0.0,0.0,0.6696428571428571,1.0,0.0,0.0
284,1.0,4.0,688,288,15000,0.0,1.0,0.0,0.0,0.0,0.5208333333333334,1.0,0.0,1.0
349,1.0,4.1,850,384,25000,1.0,0.0,0.0,0.0,0.0,0.6223958333333334,1.0,0.0,1.0
349,1.0,4.0,1506,320,20000,1.0,0.0,0.0,0.0,0.0,0.71875,1.0,0.0,0.0
358,1.0,4.2,249,352,20000,1.0,0.0,0.0,0.0,0.0,0.6818181818181818,1.0,0.0,1.0
