link,current_price,old_price,avg_rating,cnt_reviews,title,author,ID товара,Издательство,Издательский бренд,Серия,Год издания,ISBN,Количество страниц,Размер,Тип обложки,Тираж,"Вес, г",Возрастные ограничения,Переводчик,Художник,Тип комикса,Разделы комикса
https://www.chitai-gorod.ru/product/skorb-satany-2772938,312 ₽,400 ₽,4.1,925 оценок,Скорбь Сатаны,Мария Корелли,2772938,АСТ,Neoclassic,Эксклюзивная классика,2025,978-5-17-118314-1,512,2.1x11.5x18,Мягкий переплёт,30000,250,16+,,,,
https://www.chitai-gorod.ru/product/1984-novyy-perevod-2918634,312 ₽,400 ₽,4.1,1341 оценка,1984 (новый перевод),Джордж Оруэлл,2918634,АСТ,Neoclassic,Эксклюзивная классика,2024,978-5-17-148844-4,320,2.4x11.5x18,Мягкий переплёт,30000,200,16+,,,,
https://www.chitai-gorod.ru/product/prestuplenie-i-nakazanie-2465295,303 ₽,388 ₽,4.2,1288 оценок,Преступление и наказание,Федор Достоевский,2465295,АСТ,Neoclassic,Эксклюзив: Русская классика,2025,978-5-17-090630-7,672,2.5x17.5x18,Мягкий переплёт,30000,319,12+,,,,
https://www.chitai-gorod.ru/product/chelovek-nedostoynyy-3032403,284 ₽,365 ₽,4.5,363 оценки,Человек недостойный,Дадзай Осаму,3032403,АСТ,Neoclassic,Эксклюзивная классика,2025,978-5-17-161044-9,192,1.5x11.5x18,Мягкий переплёт,25000,132,16+,,,,
https://www.chitai-gorod.ru/product/tri-tovarishcha-2666861,413 ₽,530 ₽,4.2,1269 оценок,Три товарища,Эрих Ремарк,2666861,АСТ,Neoclassic,Эксклюзивная классика,2024,978-5-17-111569-2,480,2.5x11.6x18.1,Мягкий переплёт,30000,300,12+,,,,
https://www.chitai-gorod.ru/product/master-i-margarita-roman-2926100,284 ₽,365 ₽,4.4,641 оценка,Мастер и Маргарита: роман,Михаил Булгаков,2926100,АСТ,Neoclassic,Эксклюзив: Русская классика,2025,978-5-17-149175-8,512,2.1x10.9x17.9,Мягкий переплёт,20000,250,12+,,,,
https://www.chitai-gorod.ru/product/na-zapadnom-fronte-bez-peremen-2454296,339 ₽,435 ₽,4.3,872 оценки,На Западном фронте без перемен,Эрих Ремарк,2454296,АСТ,Neoclassic,Эксклюзивная классика,2025,978-5-17-088940-2,288,1.8x11.5x18,Мягкий переплёт,12000,209,16+,,,,
https://www.chitai-gorod.ru/product/portret-doriana-greya-2592760,284 ₽,365 ₽,4.2,3004 оценки,Портрет Дориана Грея,Оскар Уайльд,2592760,АСТ,Neoclassic,Эксклюзивная классика,2025,978-5-17-099056-6,320,1.6x11.4x17.9,Мягкий переплёт,30000,200,16+,,,,
https://www.chitai-gorod.ru/product/geroy-nashego-vremeni-roman-2480417,289 ₽,347 ₽,4.3,673 оценки,Герой нашего времени: роман,Михаил Лермонтов,2480417,АСТ,Neoclassic,Эксклюзив: Русская классика,2025,978-5-17-092164-5,224,1.5x11.5x18,Мягкий переплёт,20000,159,12+,,,,
https://www.chitai-gorod.ru/product/triumfalnaya-arka-2602918,441 ₽,565 ₽,4.2,1207 оценок,Триумфальная арка,Эрих Ремарк,2602918,АСТ,Neoclassic,Эксклюзивная классика,2025,978-5-17-105398-7,640,2.8x11.4x18,Мягкий переплёт,30000,370,16+,Рудницкий Михаил Львович,,,
