price,avg_rating,cnt_reviews,pages_cnt,tirage,weight,author_Джейн Остен,author_Джек Лондон,author_Джордж Оруэлл,author_Другой,author_Лев Толстой,author_Луиза Мэй Олкотт,author_Михаил Булгаков,author_Николай Гоголь,author_Федор Достоевский,author_Эрих Ремарк,publisher_АСТ,publisher_Азбука,publisher_Другой,publisher_Иностранка,"publisher_Манн, Иванов и Фербер",publisher_Эксмо,publication_year_2021,publication_year_2022,publication_year_2023,publication_year_2024,publication_year_2025,publication_year_Другой,cover_type_Мягкий заламинированный картон,cover_type_Мягкий переплёт,cover_type_Твёрдый переплёт,reading_age_0+,reading_age_12+,reading_age_16+,reading_age_18+,reading_age_6+,is_russian_author_0,is_russian_author_1,thickness,width,length,volume,log_price,log_avg_rating,log_cnt_reviews,log_pages_cnt,log_tirage,log_weight,log_thickness,log_width,log_length,log_volume
312,4.1,925,512,30000,250.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.1,11.5,18.0,434.70000000000005,5.7430031878094825,1.410986973710262,6.829793737512425,6.238324625039508,10.308952660644293,5.521460917862246,0.7419373447293773,2.4423470353692043,2.8903717578961645,6.074656137994746
312,4.1,1341,320,30000,200.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.4,11.5,18.0,496.79999999999995,5.7430031878094825,1.410986973710262,7.201170883281678,5.768320995793772,10.308952660644293,5.298317366548036,0.8754687373538999,2.4423470353692043,2.8903717578961645,6.208187530619269
284,4.5,363,192,25000,132.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.5,11.5,18.0,310.5,5.648974238161206,1.5040773967762742,5.8944028342648505,5.2574953720277815,10.126631103850338,4.882801922586371,0.4054651081081644,2.4423470353692043,2.8903717578961645,5.738183901373533
339,4.3,872,288,12000,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.8,11.5,18.0,372.59999999999997,5.82600010738045,1.4586150226995167,6.77078942390898,5.662960480135946,9.392661928770137,5.342334251964811,0.5877866649021191,2.4423470353692043,2.8903717578961645,5.920505458167488
284,4.2,3004,320,30000,200.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.6,11.4,17.9,326.49600000000004,5.648974238161206,1.4350845252893227,8.007700012884026,5.768320995793772,10.308952660644293,5.298317366548036,0.47000362924573563,2.4336133554004498,2.884800712846709,5.7884176974928945
289,4.3,673,224,20000,159.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.5,11.5,18.0,310.5,5.666426688112432,1.4586150226995167,6.511745329644728,5.4116460518550396,9.903487552536127,5.0689042022202315,0.4054651081081644,2.4423470353692043,2.8903717578961645,5.738183901373533
441,4.2,1207,640,30000,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.8,11.4,18.0,574.56,6.089044875446846,1.4350845252893227,7.095893221097532,6.461468176353717,10.308952660644293,5.91350300563827,1.0296194171811581,2.4336133554004498,2.8903717578961645,6.353604530477773
293,4.1,428,640,15000,310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.7,11.5,18.0,558.9,5.680172609017068,1.410986973710262,6.059123195581797,6.461468176353717,9.615805480084347,5.736572297479192,0.9932517730102834,2.4423470353692043,2.8903717578961645,6.325970566275652
671,4.5,139,512,20000,410.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.6,12.5,20.0,650.0,6.508769136971682,1.5040773967762742,4.9344739331306915,6.238324625039508,9.903487552536127,6.016157159698354,0.9555114450274363,2.5257286443082556,2.995732273553991,6.476972362889683
299,4.1,1414,416,25000,250.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.8,11.5,18.0,579.5999999999999,5.700443573390687,1.410986973710262,7.254177846456518,6.030685260261263,10.126631103850338,5.521460917862246,1.0296194171811581,2.4423470353692043,2.8903717578961645,6.362338210446527
293,4.2,1429,448,25000,230.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.4,11.0,17.9,472.55999999999995,5.680172609017068,1.4350845252893227,7.264730177929867,6.104793232414985,10.126631103850338,5.438079308923196,0.8754687373538999,2.3978952727983707,2.884800712846709,6.15816472299898
349,4.2,899,320,25000,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.5,11.5,18.0,310.5,5.855071922202427,1.4350845252893227,6.80128303447162,5.768320995793772,10.126631103850338,5.298317366548036,0.4054651081081644,2.4423470353692043,2.8903717578961645,5.738183901373533
299,4.0,645,352,15000,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,11.5,18.0,414.0,5.700443573390687,1.3862943611198906,6.4692503167957724,5.863631175598097,9.615805480084347,5.521460917862246,0.6931471805599453,2.4423470353692043,2.8903717578961645,6.025865973825314
284,4.7,63,448,25000,270.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.4,11.5,18.0,703.8000000000001,5.648974238161206,1.547562508716013,4.143134726391533,6.104793232414985,10.126631103850338,5.598421958998375,1.2237754316221157,2.4423470353692043,2.8903717578961645,6.5564942248874845
299,4.0,955,224,20000,150.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.8,11.7,18.1,381.186,5.700443573390687,1.3862943611198906,6.86171134048073,5.4116460518550396,9.903487552536127,5.0106352940962555,0.5877866649021191,2.4595888418037104,2.89591193827178,5.943287444977609
284,4.0,688,288,15000,150.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.6,11.5,18.0,331.20000000000005,5.648974238161206,1.3862943611198906,6.5337888379333435,5.662960480135946,9.615805480084347,5.0106352940962555,0.47000362924573563,2.4423470353692043,2.8903717578961645,5.8027224225111045
349,4.1,850,384,25000,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.8,11.5,18.0,372.59999999999997,5.855071922202427,1.410986973710262,6.745236349484363,5.950642552587727,10.126631103850338,5.476463551931511,0.5877866649021191,2.4423470353692043,2.8903717578961645,5.920505458167488
